"Years","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"        Transit aliens (People)","46062","39879","34324","33050","32952","30239","40839","89276","75853","67213","61138","47233","38387","33349","27192","25063","22435","25166","21540","21080","19335","15652","14344","7584","164315"
"            Type of transit alien",,,,,,,,,,,,,,,,,,,,,,,,,
"                (C1) Alien in Transit  (People)","37423","31457","26494","26407","27231","24207","34664","81292","65272","54994","47714","34466","27589","19452","13423","12028","12707","13606","11736","11992","11061","9563","9112","5228","3790"
"                (C2) Aliens in transit to the United Nations  (People)","44","34","25","37","24","8","15","21","44","21","32","22","18","30","12","13","4","6","18","15","12","4","53","1","158018"
"                (C3) Foreign government officials, their spouses, children, and attendants in transit  (People)","8595","8388","7805","6606","5697","6024","6160","7963","10537","12198","13392","12745","10780","13867","13757","13022","9724","11554","9786","9073","8262","6085","5179","2355","2507"
"        Crew (airline, cruiseship, etc.) (People)","185282","204389","191666","196568","197530","197516","231404","246729","249104","235430","262109","242134","229527","218510","249592","269817","265611","274234","287003","301462","300487","295646","293610","167673","160515"
"            Type of crew member",,,,,,,,,,,,,,,,,,,,,,,,,
"                (C1/D) Combined Transit and Crewmember  (People)","152215","172955","161723","165556","167435","175446","210648","228778","229115","214942","241947","217428","205893","205182","239181","262168","258935","267998","280664","295140","293285","288957","285477","161076","158018"
"                (D-Crew) Crew member  (People)","12718","11260","10768","9817","8480","8399","4631","1055","0","0","0","0","0","0","0","0","0",,,,,,,,
"                (D) Crewmember (Sea or Air) (People)","20349","20174","19175","21195","21615","13671","16125","16896","19989","20488","20162","24706","23634","13328","10411","7649","6676","6236","6339","6322","7202","6689","8133","6597","2497"
"        Other (including informants, crime victims, trafficking victims) (People)","21","26","19","381","200","342","467","241","132","154","106","191","120","921","1784","2126","2373","2687","2273","2057","2039","2341","2049","938","1455"
"            Other type of visas",,,,,,,,,,,,,,,,,,,,,,,,,
"                (N8) Parent of an Alien Classified SK3 or SN3  (People)","19","15","10","12","8","8","11","8","10","11","7","8","10","12","5","10","15","10","14","16","9","18","17","8","10"
"                (N9) Child of N8 or of SK1, SK2, SK4, SN1, SN2, or SN4  (People)","2","11","9","8","6","4","7","3","4","0","0","3","2","0","0","2","3","2","4","5","0","4","7","2","1"
"                (Q2) Irish peace program participant  (People)","0","0","0","358","186","329","389","11","6","80","1","1","0","0","0","0","0",,,,,,,,
"                (Q3) Spouse of Q2  (People)","0","0","0","3","0","1","2","0","0","3","0","0","0","0","0","0","0",,,,,,,,
"                (S5) Certain Aliens Supplying Critical Information Relating to a Criminal Organization or Enterprise  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0"
"                (S6) Certain Aliens Supplying Critical Information Relating to Terrorism  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                (S7) Qualified Family Member of S5 or S6  (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"                (T1) Victim of a severe form of trafficking in persons (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                (T2) Spouse of T1 (People)","0","0","0","0","0","0","20","74","35","11","20","34","8","64","127","151","171","115","111","89","76","66","60","33","32"
"                (T3) Child of T1 (People)","0","0","0","0","0","0","38","145","65","43","70","132","81","167","258","342","357","370","376","310","339","296","249","131","173"
